Accepted Symbol,Synonym Symbol,Scientific Name,State and Province,Duration,Invasive,Shade Tolerance
PAPU5,,Paspalum pubiflorum,"USA (AL, AR, CO, DC, FL, GA, IL, IN, KS, KY, LA, MD, MO, MS, NC, OH, OK, PA, SC, TN, TX, VA, WV)",Perennial,,
PASE5,,Paspalum setaceum,"USA (AL, AR, AZ, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, MT, NC, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, TX, UM, VA, VT, WI, WV), USA+ (PR), CAN (ON)",Perennial,,
PAUR2,,Paspalum urvillei,"USA (AL, AR, CA, FL, GA, HI, KS, KY, LA, MO, MS, NC, OK, SC, TN, TX, UM, VA), USA+ (PR)",Perennial,"HEAR, SWSS",
PECI,,Pennisetum ciliare,"USA (AZ, CA, FL, HI, LA, MO, NM, NY, OK, TX, UM), USA+ (PR, VI)",Perennial,STATE,Intolerant
PEGL2,,Pennisetum glaucum,"USA (AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), USA+ (PR)","Annual, Perennial",,Intolerant
PELA5,,Pennisetum latifolium,"USA (CA, LA, OK)",Perennial,,
PHAR3,,Phalaris arundinacea,"USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SD, TN, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), FRA (SPM)",Perennial,"N'EAST, NE&GP, SEEPPC, STATE, SWSS, WI, WSWS",Intolerant
PHGY2,,Phanopyrum gymnocarpon,"USA (AL, AR, FL, GA, LA, MS, NC, OK, SC, TN, TX, VA)",Perennial,,
PHPR3,,Phleum pratense,"USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), DEN (GL), FRA (SPM)",Perennial,N'EAST,Intermediate
PHAU7,,Phragmites australis,"USA (AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), USA+ (PR), CAN (AB, BC, MB, NB, NF, NS, NT, ON, PE, QC, SK)",Perennial,"N'EAST, SEEPPC, STATE",Intolerant
PHAUA6,,Phragmites australis ssp. americanus,"USA (AZ, CA, CO, CT, DE, IA, ID, IL, IN, KS, MA, MD, ME, MI, MN, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OK, OR, RI, SD, UT, VA, VT, WA, WI, WY), CAN (AB, BC, MB, NB, NS, NT, ON, PE, QC, SK)",Perennial,,
PIPTA,,Piptatheropsis,"USA (AZ, CA, CO, CT, IA, ID, IL, IN, MA, ME, MI, MN, MT, ND, NE, NH, NJ, NM, NV, NY, OK, OR, PA, RI, SD, TX, UT, VT, WA, WI, WV, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT)",Perennial,,
PIMI,,Piptatheropsis micrantha,"USA (AZ, CA, CO, ID, MT, ND, NE, NM, NV, OK, SD, TX, UT, WY), CAN (AB, BC, MB, SK)",Perennial,,
PIAV,,Piptochaetium avenaceum,"USA (AL, AR, CT, DC, DE, FL, GA, IN, KY, LA, MA, MD, MI, MO, MS, NC, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, WV), CAN (ON)",Perennial,,
PLJA,,Pleuraphis jamesii,"USA (AZ, CA, CO, KS, NM, NV, OK, TX, UT, WY)",Perennial,,Intolerant
PLMU3,,Pleuraphis mutica,"USA (AZ, CA, NM, OK, TX)",Perennial,,Intolerant
POAR,,Poa arachnifera,"USA (AL, AR, FL, GA, IL, KS, LA, MS, NC, NM, OK, SC, TN, TX)",Perennial,,
POAR3,,Poa arida,"USA (CO, IA, IL, IN, KS, MI, MN, MT, ND, NE, NJ, NM, OH, OK, SD, TX, WY), CAN (AB, MB, ON, QC, SK)",Perennial,,
POAU,,Poa autumnalis,"USA (AL, AR, DC, DE, FL, GA, IL, IN, KY, LA, MD, MI, MS, NC, NJ, OK, PA, SC, TN, TX, VA), CAN (NU, QC), DEN (GL)",Perennial,,Intermediate
POBU,,Poa bulbosa,"USA (AR, AZ, CA, CO, CT, DE, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MT, NC, ND, NE, NJ, NM, NV, NY, OH, OK, OR, PA, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Perennial,WSWS,Intermediate
POCO,,Poa compressa,"USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), FRA (SPM)",Perennial,WI,Tolerant
POFE,,Poa fendleriana,"USA (AZ, CA, CO, ID, MT, ND, NE, NM, NV, OK, OR, SD, TX, UT, WA, WY), CAN (AB, BC, MB)",Perennial,,Intolerant
POFEF,,Poa fendleriana ssp. fendleriana,"USA (AZ, CA, CO, MT, ND, NE, NM, NV, OK, SD, TX, UT, WY), CAN (AB, BC, MB)",Perennial,,Intermediate
POPR,,Poa pratensis,"USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), USA+ (PR), CAN (AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN (GL), FRA (SPM)",Perennial,"NE&GP, WI",Intolerant
POPRP2,,Poa pratensis ssp. pratensis,"USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), USA+ (PR), CAN (AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), FRA (SPM)",Perennial,,
POSE,,Poa secunda,"USA (AK, AZ, CA, CO, ID, ME, MI, MN, MT, ND, NE, NM, NV, OK, OR, SD, UT, WA, WY), CAN (AB, BC, NT, ON, QC, SK, YT)",Perennial,,Intermediate
POSY,,Poa sylvestris,"USA (AL, AR, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MD, MI, MN, MO, MS, NC, NE, NJ, NY, OH, OK, PA, SC, SD, TN, TX, VA, WI, WV), CAN (ON)",Perennial,,Tolerant
POIN7,,Polypogon interruptus,"USA (AZ, CA, CO, HI, LA, NE, NM, NV, NY, OK, OR, TX, UM, UT, WA, WI, WY)",Perennial,,
POVI9,,Polypogon viridis,"USA (AZ, CA, CO, CT, HI, NJ, NM, NV, OK, OR, SC, TX, UT, VA, WA, WY), USA+ (PR), CAN (BC)",Perennial,,
REFL,,Redfieldia flexuosa,"USA (AZ, CO, IL, KS, MT, ND, NE, NM, OK, SD, TX, UT, WY)",Perennial,,
SAAL21,,Saccharum alopecuroides,"USA (AL, AR, DC, FL, GA, IL, IN, KY, LA, MD, MO, MS, NC, NJ, OH, OK, SC, TN, TX, VA, WV)",Perennial,,
SABA10,,Saccharum baldwinii,"USA (AL, AR, FL, GA, IL, KY, LA, MD, MO, MS, NC, OK, SC, TN, TX, VA)",Perennial,,
SABR18,,Saccharum brevibarbe,"USA (AL, AR, DE, FL, GA, IL, KY, LA, MD, MS, NC, OK, SC, TN, TX, VA)",Perennial,,Intolerant
SABRB5,,Saccharum brevibarbe var. brevibarbe,"USA (AL, AR, IL, LA, MD, MS, NC, OK, TN, TX)",Perennial,,
SABRC3,,Saccharum brevibarbe var. contortum,"USA (AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, OK, SC, TN, TX, VA)",Perennial,,
SAGI,,Saccharum giganteum,"USA (AL, AR, DC, DE, FL, GA, IL, KY, LA, MD, MO, MS, NC, NJ, NY, OK, PA, SC, TN, TX, VA)",Perennial,,Intolerant
SARA3,,Saccharum ravennae,"USA (AZ, CA, CO, DC, DE, FL, GA, IL, KS, MD, MI, MO, NM, NY, OH, OK, TN, UT)",Perennial,,Intolerant
SAST,,Sacciolepis striata,"USA (AL, AR, DE, FL, GA, LA, MA, MD, ME, MO, MS, NC, NJ, OK, SC, TN, TX, VA), USA+ (PR)",Perennial,,Intolerant
SCPA,,Schedonnardus paniculatus,"USA (AR, AZ, CA, CO, HI, IA, IL, KS, LA, MN, MO, MS, MT, ND, NE, NM, NV, OK, SD, TX, UT, WI, WY), CAN (AB, MB, SK)",Perennial,NE&GP,
SCAR7,,Schedonorus arundinaceus,"USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, NB, NF, NS, ON, QC, SK, YT), FRA (SPM)",Perennial,,
SCPR4,,Schedonorus pratensis,"USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, LB, MB, NB, NF, NS, ON, PE, QC, SK, YT), DEN (GL), FRA (SPM)",Perennial,,
SCSC,,Schizachyrium scoparium,"USA (AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, MB, NB, NS, ON, QC, SK)",Perennial,,Intolerant
SCSCS,,Schizachyrium scoparium var. scoparium,"USA (AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, MB, NB, NS, ON, QC, SK)",Perennial,,
SCTE5,,Schizachyrium tenerum,"USA (AL, FL, GA, LA, MS, OK, TX), USA+ (PR)",Perennial,,Intolerant
SCBR2,,Scleropogon brevifolius,"USA (AZ, CA, CO, NM, NV, OK, TX, UT)",Perennial,,
SELE6,,Setaria leucopila,"USA (AR, AZ, CO, FL, NM, OK, TX)",Perennial,,
SEPA10,,Setaria parviflora,"USA (AL, AR, AZ, CA, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, MO, MS, NC, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, TN, TX, UT, VA, WA, WV), USA+ (PR, VI)",Perennial,,
SERE3,,Setaria reverchonii,"USA (FL, NM, OK, TX)",Perennial,,
SEREF,,Setaria reverchonii ssp. firmula,"USA (OK, TX)",Perennial,,
SERER2,,Setaria reverchonii ssp. reverchonii,"USA (OK, TX)",Perennial,,
SOEL3,,Sorghastrum elliottii,"USA (AL, AR, FL, GA, IN, LA, MD, MS, NC, OK, SC, TN, TX, VA)",Perennial,,
SONU2,,Sorghastrum nutans,"USA (AL, AR, AZ, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, TX, UT, VA, VT, WI, WV, WY), CAN (MB, ON, QC, SK)",Perennial,SWSS,Intolerant
SOHA,,Sorghum halepense,"USA (AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, MI, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), USA+ (PR), CAN (ON)",Perennial,"KY, N'EAST, NE&GP, SEEPPC, STATE, SWSS, WSWS",Intolerant
SPPE,,Spartina pectinata,"USA (AR, CO, CT, DC, DE, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, OR, PA, RI, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, MB, NB, NF, NS, NT, ON, PE, QC, SK), FRA (SPM)",Perennial,,Intolerant
SPFI,,Sphenopholis filiformis,"USA (AL, AR, FL, GA, LA, MS, NC, OK, SC, TN, TX, VA)",Perennial,,
SPIN3,,Sphenopholis intermedia,"USA (AK, AL, AR, AZ, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT)",Perennial,,
SPOB,,Sphenopholis obtusata,"USA (AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, MB, NB, ON, SK)","Annual, Perennial",,Intermediate
SPAI,,Sporobolus airoides,"USA (AR, AZ, CA, CO, ID, KS, MO, MT, ND, NE, NM, NV, NY, OK, OR, SC, SD, TX, UT, WA, WY), CAN (BC)",Perennial,,Intolerant
SPCL,,Sporobolus clandestinus,"USA (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MO, MS, NC, NJ, NY, OK, PA, SC, TN, TX, VA, WI, WV)",Perennial,,
SPCO16,,Sporobolus compositus,"USA (AL, AR, AZ, CO, CT, DE, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NJ, NM, NY, OH, OK, OR, PA, RI, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (BC, MB, NB, ON, QC)",Perennial,,
SPCOC2,,Sporobolus compositus var. compositus,"USA (AL, AR, AZ, CO, CT, DE, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NJ, NM, NY, OH, OK, OR, PA, RI, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (BC, MB, NB, ON, QC)",Perennial,,Intolerant
SPCOD3,,Sporobolus compositus var. drummondii,"USA (AL, AR, GA, IA, KS, KY, LA, MO, MS, OK, TN, TX)",Perennial,,
SPCOM,,Sporobolus compositus var. macer,"USA (AR, KS, LA, MO, MS, OK, TX)",Perennial,,
SPCO4,,Sporobolus contractus,"USA (AZ, CA, CO, CT, ME, MI, NJ, NM, NV, NY, OK, TX, UT, WA)",Perennial,,
SPCR,,Sporobolus cryptandrus,"USA (AR, AZ, CA, CO, CT, GA, IA, ID, IL, IN, KS, KY, LA, MA, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, MB, ON, QC, SK)",Perennial,NE&GP,Intolerant
SPGI,,Sporobolus giganteus,"USA (AZ, CO, KS, NM, OK, TX, UT)",Perennial,,
SPHE,,Sporobolus heterolepis,"USA (AR, CO, CT, GA, IA, IL, IN, KS, KY, MA, MD, MI, MN, MO, MT, NC, ND, NE, NM, NY, OH, OK, PA, SD, VA, WI, WY), CAN (MB, ON, QC, SK)",Perennial,,Intermediate
SPIN4,,Sporobolus indicus,"USA (, AL, AR, CA, FL, GA, HI, IL, KY, LA, MD, MI, MO, MS, NC, NJ, NY, OK, OR, PA, SC, TN, TX, UM, VA), USA+ (PR, VI)","Annual, Perennial",SWSS,
SPINI2,,Sporobolus indicus var. indicus,"USA (AL, AR, CA, FL, GA, HI, IL, KY, LA, MD, MI, MO, MS, NC, NJ, NY, OK, OR, PA, SC, TN, TX, VA), USA+ (PR, VI)","Annual, Perennial",,
SPJU,,Sporobolus junceus,"USA (AL, AR, AZ, FL, GA, LA, MS, NC, OK, SC, TN, TX, VA)",Perennial,,
SPPY2,,Sporobolus pyramidatus,"USA (AR, AZ, CO, FL, HI, IL, KS, LA, MD, MO, NE, NM, NY, OK, PA, TX, UM, UT), USA+ (PR, VI)","Annual, Perennial",,
SPSI2,,Sporobolus silveanus,"USA (FL, GA, LA, OK, TX)",Perennial,,
SPTE5,,Sporobolus texanus,"USA (AZ, CO, KS, NE, NM, OK, TX, UT)",Perennial,,
SPWR2,,Sporobolus wrightii,"USA (AZ, CA, NM, OK, SC, TX, UT)",Perennial,,Intolerant
STHI3,,Steinchisma hians,"USA (AL, AR, FL, GA, IL, LA, MO, MS, NC, NM, OK, SC, TN, TX, VA)",Perennial,,
STSE,,Stenotaphrum secundatum,"USA (AL, CA, FL, GA, HI, LA, MO, MS, NC, NM, OK, SC, TN, TX, UM, VA), USA+ (PR, VI)",Perennial,,Tolerant
TRAL2,,Tridens albescens,"USA (AZ, KS, LA, NM, OK, TN, TX)",Perennial,,
TRFL2,,Tridens flavus,"USA (AL, AR, CA, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV), CAN (ON)",Perennial,,Intolerant
TRFLC,,Tridens flavus var. chapmanii,"USA (AL, AR, DE, FL, GA, LA, MO, MS, NC, NJ, OK, SC, TN, TX, VA)",Perennial,,
TRFLF,,Tridens flavus var. flavus,"USA (AL, AR, CA, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV), CAN (ON)",Perennial,,
TRMU,,Tridens muticus,"USA (AR, AZ, CA, CO, KS, LA, MO, NM, NV, OK, TX, UT)",Perennial,,
TRMUE,,Tridens muticus var. elongatus,"USA (AR, AZ, CO, KS, LA, MO, NM, OK, TX)",Perennial,,
TRMUM,,Tridens muticus var. muticus,"USA (AR, AZ, CA, NM, NV, OK, TX, UT)",Perennial,,
TRST2,,Tridens strictus,"USA (AL, AR, FL, GA, IL, KS, KY, LA, MO, MS, NC, OK, PA, SC, TN, TX, VA)",Perennial,,Intermediate
TRDA3,,Tripsacum dactyloides,"USA (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MO, MS, NC, NE, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, WV)",Perennial,SWSS,Intolerant
TRFL5,,Trisetum flavescens,"USA (CA, HI, KS, MA, MO, MS, NJ, NY, OK, VT, WA), CAN (AB, BC, NS, ON, QC)",Perennial,,
TRIN5,,Trisetum interruptum,"USA (AZ, CO, LA, NM, OK, TX)","Annual, Perennial",,
URCI,,Urochloa ciliatissima,"USA (AR, NM, OK, TX)",Perennial,,
URFU2,,Urochloa fusca,"USA (AL, AZ, FL, GA, LA, NM, OK, TX), USA+ (PR, VI)","Annual, Perennial",,
URMA3,,Urochloa maxima,"USA (AL, AZ, CA, FL, GA, HI, LA, OK, TX, UM), USA+ (PR, VI)",Perennial,,Intolerant
WITE,,Willkommia texana,"USA (OK, TX)",Perennial,,
ZIMI,,Zizaniopsis miliacea,"USA (AL, AR, FL, GA, IL, KY, LA, MD, MO, MS, NC, OK, SC, TN, TX, VA)",Perennial,,Intolerant
